               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  86,            0.034108,            0.016348,                   0,             0.90412,               0.814,             0.90294,              0.6269,            0.029399,            0.010955,                   0,           0.0057925,           0.0057925,           0.0057925
                  87,            0.034837,            0.016031,                   0,             0.90925,             0.82588,             0.91146,             0.63571,            0.029155,            0.010575,                   0,            0.005743,            0.005743,            0.005743
                  88,            0.034701,            0.016707,                   0,             0.90781,             0.82267,             0.90689,             0.63388,            0.029035,            0.010822,                   0,           0.0056935,           0.0056935,           0.0056935
                  89,            0.034695,            0.016217,                   0,             0.91486,             0.82513,             0.90998,             0.63684,            0.028839,            0.010573,                   0,            0.005644,            0.005644,            0.005644
                  90,            0.034948,            0.016499,                   0,              0.9073,             0.82582,             0.90771,             0.63683,            0.028965,            0.010793,                   0,           0.0055945,           0.0055945,           0.0055945
                  91,            0.034817,            0.016781,                   0,              0.9203,             0.82501,             0.91378,             0.63851,            0.028907,              0.0105,                   0,            0.005545,            0.005545,            0.005545
                  92,            0.033936,            0.015722,                   0,             0.91836,             0.82722,             0.91217,             0.63916,            0.028812,            0.010652,                   0,           0.0054955,           0.0054955,           0.0054955
                  93,            0.033922,            0.015875,                   0,             0.90662,             0.82596,             0.91119,             0.64444,            0.028671,            0.010451,                   0,            0.005446,            0.005446,            0.005446
                  94,            0.033906,            0.015599,                   0,             0.92453,             0.82861,             0.91625,             0.64476,            0.028676,            0.010305,                   0,           0.0053965,           0.0053965,           0.0053965
                  95,            0.033355,            0.015436,                   0,             0.91767,             0.83528,             0.91832,             0.64928,            0.028507,            0.010373,                   0,            0.005347,            0.005347,            0.005347
                  96,            0.033452,            0.015335,                   0,             0.92779,             0.83045,             0.91898,             0.65222,            0.028268,            0.010226,                   0,           0.0052975,           0.0052975,           0.0052975
                  97,            0.034312,            0.015649,                   0,              0.9207,             0.83973,             0.91893,             0.65221,            0.028064,            0.010189,                   0,            0.005248,            0.005248,            0.005248
                  98,            0.033468,            0.015757,                   0,             0.92543,             0.83778,             0.92105,              0.6576,            0.028065,            0.010138,                   0,           0.0051985,           0.0051985,           0.0051985
                  99,            0.033628,            0.015832,                   0,             0.91176,             0.83597,             0.91545,             0.64517,            0.028235,            0.010448,                   0,            0.005149,            0.005149,            0.005149
                 100,            0.033532,            0.015548,                   0,             0.92169,             0.84765,             0.92343,              0.6584,            0.028002,            0.010191,                   0,           0.0050995,           0.0050995,           0.0050995
                 101,            0.033501,            0.015105,                   0,             0.92002,             0.83931,             0.91991,             0.65191,            0.028213,            0.010239,                   0,             0.00505,             0.00505,             0.00505
                 102,            0.033584,            0.015557,                   0,             0.92511,             0.84826,             0.92575,             0.66454,            0.027654,              0.0099,                   0,           0.0050005,           0.0050005,           0.0050005
                 103,            0.033357,            0.015263,                   0,             0.93003,              0.8375,             0.92301,             0.66011,            0.027765,            0.010065,                   0,            0.004951,            0.004951,            0.004951
                 104,            0.033114,            0.015133,                   0,             0.92854,             0.84862,             0.92646,             0.66259,             0.02755,           0.0098637,                   0,           0.0049015,           0.0049015,           0.0049015
                 105,            0.032455,            0.015298,                   0,             0.93478,             0.83676,             0.92342,             0.66161,            0.027496,           0.0098374,                   0,            0.004852,            0.004852,            0.004852
                 106,            0.033079,            0.015568,                   0,             0.93585,             0.83352,             0.92339,             0.66468,            0.027491,           0.0098953,                   0,           0.0048025,           0.0048025,           0.0048025
                 107,            0.032815,            0.015519,                   0,             0.93271,             0.84388,             0.92493,             0.66112,            0.027487,            0.010028,                   0,            0.004753,            0.004753,            0.004753
                 108,            0.032972,            0.015108,                   0,             0.94137,             0.83987,             0.92639,             0.67169,            0.027094,           0.0096855,                   0,           0.0047035,           0.0047035,           0.0047035
                 109,             0.03246,            0.014913,                   0,             0.93448,             0.84662,             0.92751,             0.67003,            0.027227,           0.0097607,                   0,            0.004654,            0.004654,            0.004654
                 110,            0.032783,            0.015221,                   0,              0.9318,             0.85363,             0.92991,             0.67068,            0.027161,           0.0096599,                   0,           0.0046045,           0.0046045,           0.0046045
                 111,            0.032609,            0.014681,                   0,             0.93864,             0.84292,             0.92958,             0.67076,             0.02722,           0.0097017,                   0,            0.004555,            0.004555,            0.004555
                 112,             0.03284,            0.014502,                   0,              0.9239,             0.85226,             0.92858,             0.66796,            0.027304,           0.0098236,                   0,           0.0045055,           0.0045055,           0.0045055
                 113,            0.032899,            0.014926,                   0,             0.93454,             0.85196,             0.92847,             0.67174,            0.026905,           0.0096379,                   0,            0.004456,            0.004456,            0.004456
                 114,            0.032381,            0.014973,                   0,             0.93185,             0.85502,             0.92987,             0.67528,            0.026696,           0.0095068,                   0,           0.0044065,           0.0044065,           0.0044065
                 115,            0.032258,            0.014926,                   0,             0.93448,             0.85238,             0.93102,             0.67843,            0.026691,           0.0095263,                   0,            0.004357,            0.004357,            0.004357
                 116,            0.032452,            0.014973,                   0,             0.93047,             0.85947,              0.9317,             0.67492,            0.026709,           0.0095049,                   0,           0.0043075,           0.0043075,           0.0043075
                 117,             0.03204,            0.015135,                   0,             0.93756,             0.85696,             0.93341,             0.68073,            0.026618,           0.0094877,                   0,            0.004258,            0.004258,            0.004258
                 118,            0.031796,            0.014499,                   0,             0.94123,             0.85931,             0.93428,             0.67931,            0.026525,           0.0094964,                   0,           0.0042085,           0.0042085,           0.0042085
                 119,            0.030714,             0.01481,                   0,             0.93697,             0.86322,             0.93713,             0.68407,            0.026479,           0.0093494,                   0,            0.004159,            0.004159,            0.004159
                 120,            0.031746,             0.01463,                   0,             0.93906,             0.86239,             0.93559,             0.68736,            0.026205,           0.0093252,                   0,           0.0041095,           0.0041095,           0.0041095
                 121,            0.032059,            0.014661,                   0,             0.93909,             0.85726,             0.93423,             0.68683,            0.026202,           0.0094084,                   0,             0.00406,             0.00406,             0.00406
                 122,            0.032256,            0.014417,                   0,             0.93977,             0.86918,             0.93758,             0.68621,            0.026211,           0.0093854,                   0,           0.0040105,           0.0040105,           0.0040105
                 123,            0.031799,            0.014653,                   0,             0.94261,             0.86067,              0.9373,             0.68704,            0.026113,           0.0092775,                   0,            0.003961,            0.003961,            0.003961
